참여자번호,브레이크유형,고감속구간 번호,고감속구간길이,최소거리
17,C점멸주파수변화제동등,6,2.88,22.12638
17,C점멸주파수변화제동등,7,2.387,33.25771
17,C점멸주파수변화제동등,8,2.414,36.85051
17,C점멸주파수변화제동등,9,2.95,20.27461
17,C점멸주파수변화제동등,10,2.373,41.11754
17,D면적변화제동등,1,2.356,16.6629
17,D면적변화제동등,2,2.873,25.44293
17,D면적변화제동등,3,2.362,35.13472
17,D면적변화제동등,4,2.879,33.26571
17,D면적변화제동등,5,1.833,28.5109
17,D면적변화제동등,6,3.032,18.16487
17,D면적변화제동등,7,2.87,28.50988
17,D면적변화제동등,8,2.395,32.32563
17,D면적변화제동등,9,2.441,12.80333
17,D면적변화제동등,10,2.427,23.31779
18,A기본제동등,1,2.849,30.86698
18,A기본제동등,2,2.898,14.27553
18,A기본제동등,3,2.428,30.42406
18,A기본제동등,4,2.218,31.41332
18,A기본제동등,5,2.364,39.12485
18,A기본제동등,6,2.878,17.86036
18,A기본제동등,7,2.915,18.98459
18,A기본제동등,8,2.434,21.60259
18,A기본제동등,9,2.348,29.79405
